No,Date,Time,LocName,By,On,confirmed_opp,loc_x,loc_y,desc
46,08-May-25,13:30,Akhnoor,Pakistan Army - Shelling,India,,32.8982,74.7345,Pakistani artillery shelling and armed drone use across LoC. Indian retaliatory fire in response to Pakistani shelling across LoC causes losses to the Pakistan Army.
47,08-May-25,13:30,Udhampur,Pakistan Army - Shelling,India,,32.9152,75.1422,Pakistani artillery shelling and armed drone use across LoC. Indian retaliatory fire in response to Pakistani shelling across LoC causes losses to the Pakistan Army.
48,09-May-25,01:00,Srinagar,Pakistan Army - Drone/Missle,India,,34.0783,74.7769,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
49,09-May-25,01:00,Naliya,Pakistan Army - Drone/Missle,India,,23.2122,68.8718,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
50,09-May-25,01:00,Udhampur,Pakistan Army - Drone/Missle,India,,32.9152,75.1422,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
51,09-May-25,01:00,Pathankhot,Pakistan Army - Drone/Missle,India,,32.2635,75.6378,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
52,09-May-25,01:00,Adampur,Pakistan Army - Drone/Missle,India,,31.4363,75.7142,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
53,09-May-25,01:00,Bhuj,Pakistan Army - Drone/Missle,India,,23.2226,69.6693,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
54,09-May-25,01:00,Awantipura,Pakistan Army - Drone/Missle,India,,33.9147,75.0152,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
55,09-May-25,01:00,Ferozepur,Pakistan Army - Drone/Missle,India,,30.9128,74.6275,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
56,09-May-25,01:00,Jalandhar,Pakistan Army - Drone/Missle,India,,31.2906,75.607,"Pakistan makes air intrusion and attack attempts, these result in limited damage to equipment/personnel at IAF stations."
57,09-May-25,13:30,Rajouri,Pakistan Army - Shelling,India,,33.3749,74.3149,Pakistan continues drone intrusions and heavy artillery/mortar/small-arm shelling.
58,09-May-25,13:30,Kupwara,Pakistan Army - Shelling,India,,34.5234,74.2536,Pakistan continues drone intrusions and heavy artillery/mortar/small-arm shelling.
59,09-May-25,13:30,Baramulla,Pakistan Army - Shelling,India,,34.2035,74.3425,Pakistan continues drone intrusions and heavy artillery/mortar/small-arm shelling.
60,09-May-25,13:30,Poonch,Pakistan Army - Shelling,India,,33.7631,74.0834,Pakistan continues drone intrusions and heavy artillery/mortar/small-arm shelling.
61,09-May-25,13:30,Akhnoor,Pakistan Army - Shelling,India,,32.8982,74.7345,Pakistan continues drone intrusions and heavy artillery/mortar/small-arm shelling.
62,10-May-25,07:30,Rafiqui,Indian Armed Forces,Pakistan,,30.7584,72.2796,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
63,10-May-25,07:30,Muridke,Indian Armed Forces,Pakistan,,31.8034,74.2414,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
64,10-May-25,07:30,Chaklala,Indian Armed Forces,Pakistan,,33.61,73.0937,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
65,10-May-25,07:30,Rahim Yar Khan,Indian Armed Forces,Pakistan,,28.4071,70.291,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
66,10-May-25,07:30,Sukkur,Indian Armed Forces,Pakistan,,27.6957,68.8843,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
67,10-May-25,07:30,Chuinian,Indian Armed Forces,Pakistan,,30.9639,73.963,"Indian Armed Forces carry out precision attacks on identified Pakistani military targets: technical infrastructure, command and control centres, radar sites, weapon storage areas."
68,10-May-25,07:30,Pasrur,Indian Armed Forces,Pakistan,,32.2608,74.6687,India targets radar sites using precision munitions.
69,10-May-25,07:30,Sialkot,Indian Armed Forces,Pakistan,,32.5235,74.5822,India targets radar sites using precision munitions.
